City_x,Country,CityCountry,City_y,osm_url,flag,geohash,drives_on,bounds,latitude,longitude
San Miguel de Tucumán,Argentina,"San Miguel de Tucumán, Argentina","San Miguel de Tucumán, Argentina",https://www.openstreetmap.org/?mlat=-26.83037&mlon=-65.20381#map=17/-26.83037/-65.20381,🇦🇷,6e1xk78jc02yuz1nrcsh,right,"{'northeast': {'lat': -26.7838099, 'lng': -65.1591609}, 'southwest': {'lat': -26.9103413, 'lng': -65.2749039}}",-26.8303703,-65.2038133
Yerevan,Armenia,"Yerevan, Armenia","Yerevan, Armenia",https://www.openstreetmap.org/?mlat=40.17771&mlon=44.51262#map=17/40.17771/44.51262,🇦🇲,szpssfjh5k1wffqdnk9h,right,"{'northeast': {'lat': 40.2417737, 'lng': 44.6217689}, 'southwest': {'lat': 40.0658518, 'lng': 44.362107}}",40.1777112,44.5126233
Adelaide,Australia,"Adelaide, Australia","Adelaide, Australia",https://www.openstreetmap.org/?mlat=-34.92818&mlon=138.59993#map=17/-34.92818/138.59993,🇦🇺,r1f93ct2s7pr83cnnvx0,left,"{'northeast': {'lat': -34.572242, 'lng': 138.8479091}, 'southwest': {'lat': -35.350296, 'lng': 138.4281386}}",-34.9281805,138.5999312
Albury–Wodonga,Australia,"Albury–Wodonga, Australia","Albury–Wodonga, Australia",https://www.openstreetmap.org/?mlat=-36.04815&mlon=146.96957#map=16/-36.04815/146.96957,🇦🇺,r38dbmeur1n5pnnem39b,left,"{'northeast': {'lat': -36.0414204, 'lng': 146.9779143}, 'southwest': {'lat': -36.0541462, 'lng': 146.9630331}}",-36.0481537,146.9695699
Ballarat,Australia,"Ballarat, Australia","Ballarat, Australia",https://www.openstreetmap.org/?mlat=-37.56230&mlon=143.86056#map=17/-37.56230/143.86056,🇦🇺,r1q639updpebbjvwef86,left,"{'northeast': {'lat': -37.4023013, 'lng': 144.0205645}, 'southwest': {'lat': -37.7223013, 'lng': 143.7005645}}",-37.5623013,143.8605645
Bendigo,Australia,"Bendigo, Australia","Bendigo, Australia",https://www.openstreetmap.org/?mlat=-36.75902&mlon=144.28267#map=17/-36.75902/144.28267,🇦🇺,r1qwghprjymf8ttqtt0w,left,"{'northeast': {'lat': -36.5990183, 'lng': 144.4426718}, 'southwest': {'lat': -36.9190183, 'lng': 144.1226718}}",-36.7590183,144.2826718
Brisbane,Australia,"Brisbane, Australia","Brisbane, Australia",https://www.openstreetmap.org/?mlat=-27.46897&mlon=153.02350#map=17/-27.46897/153.02350,🇦🇺,r7hgdpkm9vnypgyftb1h,left,"{'northeast': {'lat': -27.022014, 'lng': 153.468275}, 'southwest': {'lat': -27.660219, 'lng': 152.679693}}",-27.4689682,153.0234991
Cairns,Australia,"Cairns, Australia","Cairns, Australia",https://www.openstreetmap.org/?mlat=-16.92067&mlon=145.77219#map=17/-16.92067/145.77219,🇦🇺,rhzxtpsjfp797x9stc8j,left,"{'northeast': {'lat': -16.7606657, 'lng': 145.9321854}, 'southwest': {'lat': -17.0806657, 'lng': 145.6121854}}",-16.9206657,145.7721854
Canberra–Queanbeyan,Australia,"Canberra–Queanbeyan, Australia","Canberra–Queanbeyan, Australia",https://www.openstreetmap.org/?mlat=-35.34785&mlon=149.20762#map=17/-35.34785/149.20762,🇦🇺,r3dngm1eve8whtg79rhr,left,"{'northeast': {'lat': -35.3466831, 'lng': 149.2076191}, 'southwest': {'lat': -35.3478472, 'lng': 149.2069334}}",-35.3478472,149.2076191
Central Coast,Australia,"Central Coast, Australia","Central Coast, Australia",https://www.openstreetmap.org/?mlat=-33.31171&mlon=151.31207#map=17/-33.31171/151.31207,🇦🇺,r65d7py14xr054rmh0rw,left,"{'northeast': {'lat': -33.0437193, 'lng': 151.6312667}, 'southwest': {'lat': -33.5799713, 'lng': 150.9842689}}",-33.3117096,151.3120675
Darwin,Australia,"Darwin, Australia","Darwin, Australia",https://www.openstreetmap.org/?mlat=-12.46044&mlon=130.84105#map=17/-12.46044/130.84105,🇦🇺,qvv117es9meu1sex14xh,left,"{'northeast': {'lat': -12.30044, 'lng': 131.0010469}, 'southwest': {'lat': -12.62044, 'lng': 130.6810469}}",-12.46044,130.8410469
Geelong,Australia,"Geelong, Australia","Geelong, Australia",https://www.openstreetmap.org/?mlat=-38.14932&mlon=144.35982#map=17/-38.14932/144.35982,🇦🇺,r1nwuzps5dqtq781hdgy,left,"{'northeast': {'lat': -37.9893248, 'lng': 144.5198241}, 'southwest': {'lat': -38.3093248, 'lng': 144.1998241}}",-38.1493248,144.3598241
Gold Coast,Australia,"Gold Coast, Australia","Gold Coast, Australia",https://www.openstreetmap.org/?mlat=-28.00237&mlon=153.41460#map=17/-28.00237/153.41460,🇦🇺,r7j0en3475rczymqmk1g,left,"{'northeast': {'lat': -27.690395, 'lng': 153.5519459}, 'southwest': {'lat': -28.26511, 'lng': 153.16891}}",-28.0023731,153.4145987
Hobart,Australia,"Hobart, Australia","Hobart, Australia",https://www.openstreetmap.org/?mlat=-42.88251&mlon=147.32812#map=17/-42.88251/147.32812,🇦🇺,r22u093p60fzpbx5312z,left,"{'northeast': {'lat': -42.655376, 'lng': 147.645588}, 'southwest': {'lat': -43.103615, 'lng': 147.091688}}",-42.8825088,147.3281233
Launceston,Australia,"Launceston, Australia","Launceston, Australia",https://www.openstreetmap.org/?mlat=-41.43408&mlon=147.13735#map=16/-41.43408/147.13735,🇦🇺,r28sk1nhuxrvd5mtndrn,left,"{'northeast': {'lat': -41.334565, 'lng': 147.305245}, 'southwest': {'lat': -41.526872, 'lng': 146.972181}}",-41.4340813,147.1373496
Mandurah,Australia,"Mandurah, Australia","Mandurah, Australia",https://www.openstreetmap.org/?mlat=-32.53025&mlon=115.72088#map=16/-32.53025/115.72088,🇦🇺,qd4qcq13ecuz5ktpce9v,left,"{'northeast': {'lat': -32.3702495, 'lng': 115.8808782}, 'southwest': {'lat': -32.6902495, 'lng': 115.5608782}}",-32.5302495,115.7208782
Melbourne,Australia,"Melbourne, Australia","Melbourne, Australia",https://www.openstreetmap.org/?mlat=-37.81425&mlon=144.96317#map=17/-37.81425/144.96317,🇦🇺,r1r0fsnunc8rudc7psqj,left,"{'northeast': {'lat': -37.40175, 'lng': 146.1925}, 'southwest': {'lat': -38.49937, 'lng': 144.44405}}",-37.8142454,144.9631732
Newcastle–Maitland,Australia,"Newcastle–Maitland, Australia","Newcastle–Maitland, Australia",https://www.openstreetmap.org/?mlat=-32.84815&mlon=151.73973#map=16/-32.84815/151.73973,🇦🇺,r65vhujmxur11xd6bhpr,left,"{'northeast': {'lat': -32.605699, 'lng': 151.878428}, 'southwest': {'lat': -33.090895, 'lng': 151.4032481}}",-32.8481539,151.7397296
Perth,Australia,"Perth, Australia","Perth, Australia",https://www.openstreetmap.org/?mlat=-31.95589&mlon=115.86059#map=16/-31.95589/115.86059,🇦🇺,qd66hqx57mdpm6vb5pr2,left,"{'northeast': {'lat': -31.7958933, 'lng': 116.0205855}, 'southwest': {'lat': -32.1158933, 'lng': 115.7005855}}",-31.9558933,115.8605855
Sunshine Coast,Australia,"Sunshine Coast, Australia","Sunshine Coast, Australia",https://www.openstreetmap.org/?mlat=-26.65443&mlon=153.09337#map=17/-26.65443/153.09337,🇦🇺,r7kb7exnwj2jh4rpndd9,left,"{'northeast': {'lat': -26.431058, 'lng': 153.150795}, 'southwest': {'lat': -26.984787, 'lng': 152.551107}}",-26.6544338,153.0933668
Sydney,Australia,"Sydney, Australia","Sydney, Australia",https://www.openstreetmap.org/?mlat=-33.86984&mlon=151.20828#map=16/-33.86984/151.20828,🇦🇺,r3gx2f4tb7mp79m3h45s,left,"{'northeast': {'lat': -33.3641864, 'lng': 151.343898}, 'southwest': {'lat': -34.1732416, 'lng': 150.260825}}",-33.8698439,151.2082848
Toowoomba,Australia,"Toowoomba, Australia","Toowoomba, Australia",https://www.openstreetmap.org/?mlat=-27.56102&mlon=151.95335#map=16/-27.56102/151.95335,🇦🇺,r7h51y9j3tweztmv9eb2,left,"{'northeast': {'lat': -27.4010193, 'lng': 152.113351}, 'southwest': {'lat': -27.7210193, 'lng': 151.793351}}",-27.5610193,151.953351
Townsville,Australia,"Townsville, Australia","Townsville, Australia",https://www.openstreetmap.org/?mlat=-19.25694&mlon=146.82395#map=17/-19.25694/146.82395,🇦🇺,rk86mn3unn6gu9zr0y2g,left,"{'northeast': {'lat': -19.0969391, 'lng': 146.9839537}, 'southwest': {'lat': -19.4169391, 'lng': 146.6639537}}",-19.2569391,146.8239537
Wollongong,Australia,"Wollongong, Australia","Wollongong, Australia",https://www.openstreetmap.org/?mlat=-34.42781&mlon=150.89305#map=16/-34.42781/150.89305,🇦🇺,r3gk1ssgqzrgzzctbtwt,left,"{'northeast': {'lat': -34.4135598, 'lng': 150.9110471}, 'southwest': {'lat': -34.4429563, 'lng': 150.8750698}}",-34.4278083,150.893054
